latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
46.015993,11.12606,1622.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
04/03/1990,2,1.6,-14.5,0.00,0.0,319,26.0,5.6,65,25,45,-6.2
05/03/1990,0,4.4,-11.0,0.00,0.0,305,25.6,4.5,61,25,47,-3.4
06/03/1990,3,6.9,-10.4,0.00,0.0,309,32.2,5.8,63,18,46,-1.6
07/03/1990,1,8.7,-7.7,0.00,0.0,313,26.9,5.0,57,25,43,1.4
08/03/1990,3,6.5,-4.9,0.00,0.0,274,26.9,4.9,81,45,61,1.0
09/03/1990,73,3.9,-2.8,2.30,6.0,296,31.3,4.2,90,69,78,0.4
10/03/1990,3,8.2,-4.2,0.00,0.0,313,47.7,7.0,78,31,54,2.3
11/03/1990,3,12.5,-4.5,0.00,0.0,316,30.2,6.1,78,31,53,4.6
12/03/1990,3,10.6,-3.0,0.00,0.0,320,19.6,3.9,72,46,63,4.3
13/03/1990,3,8.5,0.9,0.00,0.0,305,18.1,3.8,77,52,63,5.0
14/03/1990,71,8.9,-2.0,2.90,13.0,323,15.0,2.8,84,58,75,3.5
15/03/1990,71,8.1,-2.5,0.20,2.0,312,14.7,3.0,87,51,69,3.5
16/03/1990,1,7.3,-1.5,0.00,0.0,236,16.5,3.4,82,55,70,3.0
17/03/1990,2,6.1,-0.1,0.00,0.0,120,19.6,3.0,85,47,66,2.8
18/03/1990,71,6.8,-2.5,0.50,4.0,95,20.1,3.0,74,47,58,2.8
19/03/1990,1,9.3,-2.8,0.00,0.0,356,15.2,3.1,72,36,51,4.1
20/03/1990,3,11.7,-1.9,0.00,0.0,323,18.2,3.5,67,29,45,5.6
21/03/1990,3,11.9,0.1,0.00,0.0,296,21.6,3.9,64,40,50,6.5
22/03/1990,53,13.7,0.8,0.60,1.0,290,23.0,4.3,67,38,55,7.4
23/03/1990,53,10.8,1.2,2.90,9.0,343,22.3,4.2,84,50,68,5.4
24/03/1990,51,8.0,0.8,1.40,5.0,255,19.0,3.8,93,64,79,4.4
25/03/1990,73,3.4,-4.6,16.00,21.0,345,26.9,3.7,99,75,90,0.8
26/03/1990,73,-3.8,-6.3,9.80,21.0,27,41.5,6.7,85,68,74,-5.1
27/03/1990,73,-2.1,-7.2,10.60,18.0,5,36.9,5.8,92,67,78,-4.7
28/03/1990,73,-1.0,-5.4,5.90,16.0,16,22.7,4.1,92,68,82,-3.1
29/03/1990,71,3.7,-9.2,0.00,0.0,347,28.6,5.0,92,36,66,-2.5
30/03/1990,71,5.9,-4.1,0.00,0.0,352,29.5,4.6,74,36,56,0.7
31/03/1990,1,7.8,-6.4,0.00,0.0,311,14.8,2.7,68,36,54,1.5
01/04/1990,1,8.3,-3.8,0.00,0.0,230,20.1,4.1,75,50,59,3.1
02/04/1990,71,5.8,-0.3,2.10,6.0,230,28.4,3.8,94,74,82,2.6
03/04/1990,73,3.3,-1.6,7.00,18.0,192,25.1,3.1,99,79,89,0.8
04/04/1990,75,3.0,-1.2,11.10,16.0,296,16.6,2.5,99,80,93,0.7
05/04/1990,73,4.6,-2.0,4.30,15.0,206,33.7,4.8,96,75,87,1.0
06/04/1990,73,3.3,-2.4,11.60,14.0,202,25.9,3.2,98,74,90,0.5
