latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.51845,10.737833,110.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),winddirection_10m_dominant (°),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),temperature_2m_mean (°C)
07/03/1990,3,85,53,70,239,15.2,4.3,0.00,0.0,11.9,4.4,9.7
08/03/1990,3,89,73,79,291,12.3,6.4,0.00,0.0,13.8,5.8,9.4
09/03/1990,51,93,82,87,271,11.1,6.8,0.10,1.0,12.9,5.6,9.1
10/03/1990,3,93,47,70,293,17.2,2.9,0.00,0.0,15.0,3.9,10.4
11/03/1990,2,77,45,63,93,18.5,6.2,0.00,0.0,9.8,2.8,12.4
12/03/1990,3,85,62,74,274,16.0,7.3,0.00,0.0,11.4,3.4,12.2
13/03/1990,3,88,53,73,94,18.3,9.1,0.00,0.0,12.2,4.9,13.7
14/03/1990,3,88,54,73,77,18.1,6.6,0.00,0.0,12.4,4.5,12.9
15/03/1990,3,87,46,67,77,17.8,7.0,0.00,0.0,17.6,7.9,13.1
16/03/1990,0,82,60,71,79,14.2,8.8,0.00,0.0,20.4,9.2,11.5
17/03/1990,3,79,53,63,81,13.7,9.2,0.00,0.0,20.0,9.2,11.2
18/03/1990,3,80,37,58,54,15.6,5.8,0.00,0.0,9.9,3.8,11.2
19/03/1990,0,79,39,61,288,17.6,5.9,0.00,0.0,15.7,6.3,11.9
20/03/1990,3,80,39,60,289,19.3,5.7,0.00,0.0,17.9,8.1,12.8
21/03/1990,3,82,37,58,295,20.6,6.6,0.00,0.0,9.7,3.2,14.6
22/03/1990,3,84,41,60,288,22.1,8.1,0.00,0.0,11.3,3.0,15.9
23/03/1990,53,85,54,73,290,20.2,9.6,2.10,6.0,16.7,6.0,14.6
24/03/1990,53,92,61,77,39,17.2,11.6,1.20,6.0,14.7,6.0,14.2
25/03/1990,61,96,66,86,298,13.4,7.5,10.60,11.0,23.2,10.8,11.2
26/03/1990,61,89,72,79,59,6.6,4.1,15.40,22.0,31.4,11.9,5.6
27/03/1990,63,93,70,83,22,7.7,3.9,25.70,24.0,25.2,10.3,5.7
28/03/1990,61,86,77,81,67,9.2,5.9,9.50,20.0,20.1,8.5,7.3
29/03/1990,3,92,41,71,309,14.6,3.2,0.00,0.0,15.5,5.1,9.3
30/03/1990,51,86,51,71,89,15.1,5.3,0.60,4.0,15.9,6.2,10.6
31/03/1990,2,90,43,68,272,18.3,4.7,0.00,0.0,12.5,4.1,12.3
01/04/1990,0,88,49,69,111,18.4,5.5,0.00,0.0,12.9,4.9,13.0
02/04/1990,3,85,50,70,79,16.6,9.6,0.00,0.0,12.9,5.3,13.2
03/04/1990,53,91,76,84,83,12.8,9.0,4.80,17.0,23.7,10.8,11.0
04/04/1990,51,92,74,85,161,14.9,9.6,2.60,13.0,14.6,4.4,11.7
05/04/1990,51,91,76,84,85,13.0,9.2,2.10,10.0,22.4,9.8,10.9
06/04/1990,61,91,75,85,68,12.4,7.7,11.20,14.0,25.1,13.9,10.5
07/04/1990,61,95,82,88,9,12.1,10.0,17.00,21.0,20.2,9.5,11.1
08/04/1990,53,94,72,84,86,14.5,8.3,3.20,12.0,22.8,9.7,11.2
09/04/1990,53,82,71,75,72,9.6,7.3,4.50,12.0,33.6,17.0,8.4
10/04/1990,3,92,65,79,230,13.4,5.4,0.00,0.0,13.2,4.9,9.6
11/04/1990,51,91,62,78,77,13.8,5.4,0.60,4.0,12.7,4.2,10.0
12/04/1990,61,88,54,75,38,13.4,5.1,1.80,2.0,13.3,4.7,9.4
13/04/1990,1,88,45,66,226,14.0,5.6,0.00,0.0,11.9,4.4,10.5
14/04/1990,53,85,57,71,73,14.0,7.8,5.10,8.0,14.6,6.9,10.7
15/04/1990,53,90,69,81,19,12.2,8.4,3.60,14.0,12.6,3.7,10.2
16/04/1990,55,89,64,78,221,13.2,8.3,2.60,5.0,14.5,4.7,10.7
17/04/1990,3,92,57,73,127,14.1,6.1,0.00,0.0,13.0,5.2,10.8
18/04/1990,53,82,68,74,63,10.8,8.5,6.60,14.0,28.4,15.3,9.5
19/04/1990,53,87,70,80,78,11.1,6.6,6.20,13.0,19.8,7.7,8.7
20/04/1990,53,87,65,77,76,12.2,6.1,2.60,6.0,30.1,15.5,9.0
21/04/1990,61,93,71,83,69,12.4,7.0,6.70,14.0,20.1,6.9,9.5
22/04/1990,61,94,65,83,90,13.5,6.3,5.50,13.0,16.1,6.9,9.9
23/04/1990,61,91,72,82,306,11.9,6.5,10.20,12.0,21.2,8.6,9.0
24/04/1990,53,94,68,82,259,14.3,5.7,1.50,5.0,18.1,6.3,10.6
