latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.51845,10.879121,234.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
06/03/1990,3,13.7,2.2,0.00,0.0,283,14.5,5.7,77,48,64,7.8
07/03/1990,3,15.3,5.1,0.00,0.0,261,11.9,3.7,81,54,69,10.0
08/03/1990,3,14.3,5.4,0.00,0.0,284,15.8,5.5,88,63,77,9.3
09/03/1990,51,12.0,4.5,0.50,3.0,281,15.9,5.9,97,75,87,8.7
10/03/1990,3,17.0,0.1,0.00,0.0,320,14.9,4.4,98,48,74,9.3
11/03/1990,3,18.5,3.4,0.00,0.0,40,11.7,3.2,83,50,68,11.3
12/03/1990,3,16.9,5.0,0.00,0.0,268,11.5,3.5,90,61,75,12.1
13/03/1990,3,18.4,9.6,0.00,0.0,79,13.1,4.8,86,51,71,13.5
14/03/1990,51,18.4,4.6,0.40,1.0,50,13.3,4.6,92,54,74,11.8
15/03/1990,3,18.0,5.4,0.00,0.0,61,19.8,7.3,89,45,67,12.1
16/03/1990,1,15.5,6.4,0.00,0.0,74,19.4,7.4,81,50,68,10.9
17/03/1990,3,14.8,5.7,0.00,0.0,74,20.6,7.7,77,39,60,9.9
18/03/1990,3,16.3,3.9,0.00,0.0,50,12.6,4.3,79,36,56,10.5
19/03/1990,0,18.3,2.8,0.00,0.0,304,14.2,5.1,82,36,60,10.8
20/03/1990,3,20.3,2.7,0.00,0.0,300,16.0,6.3,85,35,61,12.0
21/03/1990,3,20.8,5.3,0.00,0.0,328,12.7,5.0,83,37,59,13.9
22/03/1990,3,22.0,6.1,0.00,0.0,302,12.9,3.8,84,43,61,15.2
