LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Lavarone;1/6/2025;"16,4";"10,6";"21,5";"13,5";"82";"47147";"2";"0";"5";"1018";"0";"5,2";"pioggia temporale "
Lavarone;2/6/2025;"16,5";"13,9";"19,8";"14,9";"90";"17214";"2";"0";"7";"1018";"0";"14,4";"pioggia temporale "
Lavarone;3/6/2025;"16,5";"13";"20,8";"13,6";"83";"37030";"3";"0";"5";"1018";"0";"7,3";"pioggia temporale "
Lavarone;4/6/2025;"14,9";"11,6";"19,6";"11,7";"81";"29728";"2";"0";"6";"1018";"0";"3,4";"pioggia temporale "
Lavarone;5/6/2025;"14,5";"10,9";"18,2";"13,2";"91";"30086";"2";"0";"6";"1017";"0";"23";"pioggia temporale "
Lavarone;6/6/2025;"14,8";"9,7";"19,5";"12,1";"83";"58049";"2";"0";"5";"1018";"0";"0,3";""
Lavarone;7/6/2025;"16,5";"11,2";"21,6";"12,4";"76";"33715";"3";"0";"6";"1015";"0";"1";"pioggia "
Lavarone;8/6/2025;"17,3";"13,6";"22,1";"13,8";"79";"67129";"2";"0";"8";"1014";"0";"0,3";"pioggia "
Lavarone;9/6/2025;"14,8";"8,6";"21,2";"10,3";"74";"73000";"2";"0";"6";"1021";"0";"0";""
Lavarone;10/6/2025;"16,3";"10,5";"22,5";"12";"75";"59076";"2";"0";"5";"1018";"0";"0";""
Lavarone;11/6/2025;"17,8";"11,6";"23,4";"13,1";"73";"72936";"2";"0";"4";"1017";"0";"0";""
Lavarone;12/6/2025;"18,9";"13,4";"24,4";"13,9";"73";"73026";"2";"0";"4";"1019";"0";"0";""
Lavarone;13/6/2025;"20";"13,8";"25,6";"15,9";"77";"73026";"2";"0";"4";"1022";"0";"0";""
Lavarone;14/6/2025;"20,1";"14,6";"27,2";"15,2";"73";"59181";"1";"0";"3";"1021";"0";"0,9";"pioggia "
Lavarone;15/6/2025;"20";"13,3";"26,8";"12,2";"60";"52101";"2";"0";"11";"1019";"0";"11";"pioggia temporale "
Lavarone;16/6/2025;"15,8";"13";"21,6";"12,4";"80";"28784";"1";"0";"5";"1020";"0";"13";"pioggia temporale nebbia "
Lavarone;17/6/2025;"16,5";"12,1";"21,9";"10,2";"66";"38781";"2";"0";"6";"1022";"0";"0";""
Lavarone;18/6/2025;"17,6";"10,9";"23,6";"13,6";"77";"44467";"2";"0";"3";"1022";"0";"0";""
Lavarone;19/6/2025;"19,8";"13,5";"25,4";"13,2";"65";"52100";"2";"0";"4";"1020";"0";"1,2";"pioggia temporale "
Lavarone;20/6/2025;"20,1";"15,2";"25";"16,4";"79";"59069";"2";"0";"5";"1020";"0";"23,5";"pioggia temporale "
Lavarone;21/6/2025;"17,5";"14,3";"21,7";"14,4";"81";"34173";"2";"0";"4";"1022";"0";"5,8";"pioggia temporale "
Lavarone;22/6/2025;"18,5";"11,5";"24,4";"13,3";"71";"45125";"2";"0";"5";"1020";"0";"0";""
Lavarone;23/6/2025;"19,6";"14,4";"24,8";"12,5";"63";"24012";"2";"0";"9";"1017";"0";"0";""
Lavarone;24/6/2025;"20,3";"14,9";"24,7";"15,8";"75";"52084";"2";"0";"6";"1016";"0";"0,1";""
Lavarone;25/6/2025;"21,8";"17";"26,6";"18,9";"83";"52092";"2";"0";"4";"1017";"0";"0,6";"pioggia "
Lavarone;26/6/2025;"22,4";"17,6";"27";"16,4";"68";"37463";"2";"0";"12";"1016";"0";"3,4";"pioggia "
Lavarone;27/6/2025;"21,1";"14,5";"26,8";"10,7";"51";"24192";"2";"0";"7";"1022";"0";"0";""
Lavarone;28/6/2025;"22,6";"16";"28,1";"13,4";"56";"24200";"2";"0";"5";"1024";"0";"0";""
Lavarone;29/6/2025;"22,6";"16,4";"28,8";"18,1";"75";"23269";"2";"0";"5";"1021";"0";"0";""
Lavarone;30/6/2025;"22,1";"15,5";"28,2";"16,3";"69";"24188";"2";"0";"11";"1019";"0";"3,5";"pioggia temporale "
