Name,latitude,longitude
Predazzo,46.310012,11.595069
Trento,46.015993,11.12606
Povo,46.066882,11.157728
Arco,45.922268,10.883035
Lavarone,45.940308,11.253721
Mezzana,46.313313,10.795904
Cavalese,46.284782,11.451713
Tenno,45.91905,10.831278
Telve,46.058046,11.477478
Rovereto,45.896325,11.043987
