code,shortname,elevation,latitude,longitude,startdate,enddate
T0231,Mazzin (Campestrin),1385,46.464781,11.715096,2002-09-01,2013-01-08
T0237,Mazzin (Fontanazzo),1400,46.470717,11.729238,1974-01-01,1988-09-30
T0071,Mezzana,905,46.313313,10.795904,1921-01-01,
T0420,Mezzano,640,46.154673,11.812625,2007-05-11,
T0090,Mezzolombardo (Convento),225,46.214227,11.093392,1921-01-01,2006-03-05
T0408,Mezzolombardo (Maso Delle Part),204,46.187266,11.104432,2012-05-31,
T0098,Moena,1175,46.375771,11.662227,1921-01-01,1990-12-31
T0096,Moena (Diga Pezze'),1205,46.383644,11.664651,1990-09-11,
T0383,Molveno,835,46.141618,10.957526,2007-05-30,
T0182,Montagne (Larzana),955,46.059072,10.7517,1925-01-01,
T0144,Monte Bondone,1500,46.013494,11.05405,1926-07-01,2005-04-05
T0327,Monte Bondone (Giardino Botanico),1552,46.021903,11.039878,2004-08-18,2014-03-23
T0368,Monte Bondone (Viote),1490,46.013651,11.054869,1999-11-25,
T0169,Monte Groste' (Rifugio Graffer),2258,46.217722,10.889755,1991-09-11,
T0226,Monte Ruioch (Rifugio Tonini),1900,46.167258,11.351504,2002-09-16,
T0151,Mori (Loppio),230,45.855333,10.931371,1975-01-01,
T0186,Nembia (Centrale),810,46.106228,10.938022,1975-01-01,2012-01-09
T0406,Paganella (Malga Terlago),1790,46.143008,11.021504,1931-08-01,
T0267,Paneveggio (Bellamonte),1415,46.311503,11.675589,1921-01-01,1981-12-31
T0008,Paneveggio (campo neve),1540,46.309517,11.747509,2006-01-15,
T0355,Passo Brocon,1610,46.116677,11.663267,1988-01-09,
T0168,Passo Campo Carlo Magno,1681,46.242483,10.838355,1975-01-01,2003-09-30
T0024,Passo Cereda,1322,46.195903,11.915734,1975-01-01,
T0094,Passo Costalunga,1750,46.404528,11.613615,1967-01-01,
T0384,Passo Manghen,2035,46.174924,11.439944,2011-08-18,
T0082,Passo Mendola,1315,46.419179,11.189336,1921-01-01,
T0425,Passo Pian Delle Fugazze,1170,45.758997,11.174829,2012-05-16,
T0103,Passo Rolle,2012,46.297919,11.787124,1921-01-01,
T0369,Passo Sommo,1360,45.918646,11.206083,1999-08-05,
T0360,Passo Tonale,1875,46.262564,10.596825,1987-11-27,
T0069,Passo Tonale,1795,46.263301,10.611068,1923-06-01,2005-01-20
T0104,Passo Valles,2032,46.33839,11.799791,1985-01-01,
T0064,Peio,1565,46.363982,10.67566,1921-01-01,2007-12-14
T0366,Peio,1585,46.364364,10.67783,2002-05-17,
T0372,Peio (Crozzi Taviela),2960,46.384176,10.631957,2002-09-22,
T0409,Pergine Valsugana,498,46.06188,11.244267,1920-12-31,
T0092,Pian Fedaia (Diga),2063,46.459032,11.862873,1938-01-01,
T0063,Pian Palu' (Diga),1800,46.336633,10.613936,1973-01-01,2023-10-09
T0380,Pian Palu' (Malga Giumella),1945,46.340912,10.612562,2011-10-18,
T0140,Piazze Di Pine',1025,46.14997,11.273534,1921-01-01,1985-12-31
T0428,Pieve Di Bono,525,45.940987,10.642872,2007-06-20,
T0422,Pieve Tesino (Malga Sorgazza),1435,46.133545,11.59989,2007-05-03,
T0018,Pieve Tesino (O.P. Enel),785,46.070244,11.619803,1942-01-01,2012-06-25
T0175,Pinzolo,760,46.156507,10.757484,1921-01-01,
T0435,Pinzolo (Malga Zeledria),1775,46.244878,10.834362,2011-10-05,
T0239,Pinzolo (Ponte Plaza),1150,46.198195,10.817967,1982-01-01,1984-12-31
T0142,Povo,430,46.066882,11.157728,1989-05-12,2006-01-23
T0120,Pozzolago (Centrale),420,46.165408,11.231851,1929-08-01,1998-10-31
T0167,Pradalago (Rifugio Viviani),2084,46.249695,10.813895,1991-09-06,
T0389,Predazzo,1000,46.297866,11.598248,2012-06-13,
T0102,Predazzo (Centrale),1005,46.310012,11.595069,1921-01-01,2005-11-28
T0324,Prezzo (frana),680,45.93418,10.631745,2003-12-03,2014-01-20
T0241,Rabbi (Piazzola),1310,46.410657,10.819799,1975-01-01,1991-11-30
T0076,Rabbi (San Bernardo),1132,46.401374,10.849515,1986-01-01,
T0075,Rabbi (Somrabbi),1352,46.410329,10.803614,1991-11-26,2005-05-12
T0240,Rabbi (Tasse'),1010,46.392538,10.857996,1976-01-01,1984-12-31
T0436,Ragoli (Rifugio Alimonta),2577,46.172544,10.890629,2007-06-30,
T0298,Riva,82,45.891381,10.845346,1921-01-01,1964-12-31
T0236,Romeno,958,46.390687,11.118861,1923-11-01,
T0424,Ronchi Valsugana (Malga Casapinello),1710,46.095996,11.402298,2012-06-20,
T0211,Ronzo,974,45.891054,10.952227,1925-09-01,1996-12-31
T0147,Rovereto,203,45.896325,11.043987,1921-07-01,
T0374,Rovereto (Malga Zugna),1620,45.807557,11.058163,2003-06-12,
T0417,Rumo (Lanza),1100,46.45391,11.008531,2012-03-14,
T0184,San Lorenzo In Banale,734,46.075645,10.899433,1983-01-01,2001-11-30
T0414,San Lorenzo In Banale (Pergoletti),685,46.066311,10.9113,2007-06-20,
T0021,San Martino Di Castrozza,1450,46.261279,11.801453,1921-01-01,2007-12-17
T0450,San Martino di Castrozza,1470,46.261622,11.796306,2007-05-17,
T0038,San Michele All'Adige,205,46.192588,11.13246,1926-01-01,2005-03-29
T0242,San Silvestro (Centrale),577,46.134178,11.769207,1975-01-01,1995-08-31
T0084,Santa Giustina (Diga),532,46.345656,11.061731,1975-01-01,2003-12-31
T0189,Santa Massenza (Centrale),252,46.065195,10.980275,1975-01-01,
T0172,Sant'Antonio Di Mavignola,1100,46.188471,10.784498,1986-01-01,1998-12-31
T0139,Sant'Orsola Terme,925,46.107093,11.30223,1929-08-01,
T0396,Sarca di Val Genova al Ghiacciaio del Mandrone,2595,46.186406,10.565029,2012-10-18,2024-07-09
T0115,Segonzano (Gresta),660,46.211224,11.289609,1993-01-07,2021-03-16
T0116,Segonzano (Scancio),720,46.191559,11.260009,1993-12-01,2010-11-30
T0212,Spormaggiore,561,46.219574,11.046941,1921-01-01,
T0183,Stenico,632,46.050099,10.855215,1921-01-01,2001-12-31
T0141,Sternigo,1040,46.139933,11.252223,1986-01-01,2005-06-07
T0393,Storo,385,45.846767,10.562447,2012-06-07,
T0163,Storo (Centrale),393,45.859267,10.575409,1961-01-01,2000-10-30
T0370,Storo (Lodrone),392,45.829107,10.535649,2000-09-22,2008-06-24
T0110,Stramentizzo (Diga),815,46.264625,11.376144,1973-01-01,2003-12-31
T0392,Telve,410,46.058046,11.477478,2012-06-18,
T0014,Telve (Pontarso),925,46.115819,11.49451,1923-10-01,
T0003,Tenna,569,46.015735,11.263632,1950-01-01,1990-12-31
T0200,Tenno,415,45.91905,10.831278,1975-01-01,
T0148,Terragnolo (Piazza),800,45.879641,11.151135,1923-11-01,
T0376,Tesero (Pala De Santa),2200,46.346665,11.530301,2000-07-20,2002-12-02
T0179,Tione,533,46.041087,10.730879,1921-01-01,
T0026,Tonadico,744,46.179197,11.836033,1926-01-01,2003-11-30
T0419,Tonadico (Castelpietra),1045,46.198934,11.865668,2007-05-11,
T0193,Torbole (Belvedere),90,45.870095,10.877355,1965-01-01,
T0354,Tremalzo,1560,45.841658,10.684142,1988-01-08,
T0356,Trento (Aeroporto),185,46.015993,11.12606,2012-11-30,2021-12-23
T0129,Trento (Laste),312,46.071801,11.135703,1920-09-01,
T0454,Trento (Liceo Galilei),255,46.064375,11.13742,2012-06-11,
T0137,Trento (Piazza Vittoria),196,46.067661,11.123841,1987-11-02,1992-04-30
T0135,Trento (Roncafort),194,46.095645,11.10137,1975-01-01,
