Location;Date;MeanTemp;MinTemperature;MaxTemperature;MeanHumidity;WindSpeed;WindGusts;Rainfall;Phenomena
Arco;5/12/2000;7.6;6.7;8.1;87;1;0;0;fog
Arco;6/12/2000;7.6;6;8.4;94;1;0;0;fog
Arco;7/12/2000;8;7.8;8.6;95;3;0;2.5;rain fog
Arco;8/12/2000;9.1;8;11;95;1;0;1.3;rain fog
Arco;9/12/2000;10.3;8;12;96;2;0;7.1;rain fog
Arco;10/12/2000;9.1;7;11.3;93;6;0;0;fog
Arco;11/12/2000;7.6;6;8.2;95;3;0;0;fog
Arco;12/12/2000;7.2;6.4;8;99;2;0;0;
Arco;13/12/2000;6.6;6;7.1;92;2;0;0;fog
Arco;14/12/2000;7.5;6;9;93;2;0;0;fog
Arco;15/12/2000;7.2;6;8.4;88;7;0;0;
Arco;16/12/2000;4.3;-1;9;77;6;0;0;fog
Arco;17/12/2000;2.2;-1.8;8;90;5;0;0;
Arco;18/12/2000;2.7;-2.5;10.2;88;3;0;0;
Arco;19/12/2000;1.3;-3;6.5;94;4;0;0;fog
Arco;20/12/2000;3.3;-0.5;5.8;82;10;0;0.8;rain
Arco;21/12/2000;2.6;-2;5;79;4;0;0;
Arco;22/12/2000;-1.6;-5;3.6;92;2;0;0;
Arco;23/12/2000;-3.2;-6.4;3.9;95;4;0;0;fog
Arco;24/12/2000;-3.8;-6;-1;92;1;0;0;rain snow fog
Arco;25/12/2000;-0.6;-2.1;1;0;2;0;38.1;rain fog
Arco;26/12/2000;2.7;0.4;7;93;5;0;4.8;rain fog
Arco;27/12/2000;4.1;3;6;91;4;0;1.8;rain fog
Arco;28/12/2000;5.2;2;10;89;5;0;1.8;rain fog
Arco;29/12/2000;5.1;1;8.3;91;8;0;0.8;rain fog
Arco;30/12/2000;2.7;-1;7.3;90;8;0;1;rain fog
Arco;31/12/2000;3.7;-1;8;50;3;0;0;
Arco;1/7/2000;23.3;17.4;27.2;74;4;0;0;
Arco;2/7/2000;24.2;18.4;29.1;76;4;0;0;
Arco;3/7/2000;25.7;19.4;31;80;9;0;0;
Arco;4/7/2000;26.2;20.9;31.7;73;8;0;0;
Arco;5/7/2000;24.7;17.6;30;67;6;0;0;
Arco;6/7/2000;25.1;17.8;30.3;70;4;0;0;
Arco;7/7/2000;26.1;19.6;32;66;7;0;0;
Arco;8/7/2000;22.6;16;29;79;9;0;0;thunderstorm
Arco;9/7/2000;20.2;14.4;25.5;66;8;35;5.1;
Arco;10/7/2000;20.9;13.7;27;75;7;0;0;rain
Arco;11/7/2000;19.8;14;25.3;74;12;55;5.8;rain
Arco;12/7/2000;17.2;12;24.5;72;8;0;0;
Arco;13/7/2000;19.3;11.6;26;63;6;0;0;
Arco;14/7/2000;18.8;14.7;23;82;4;0;0;
Arco;15/7/2000;17.7;14;23.9;82;9;47;6.1;thunderstorm
Arco;16/7/2000;17.6;11.4;23.6;67;8;0;0.8;
Arco;17/7/2000;19.8;11.6;26.2;64;7;0;0;
Arco;18/7/2000;21.3;14.2;26.1;72;4;0;0;
Arco;19/7/2000;22;15.9;28;73;6;0;0;thunderstorm
Arco;20/7/2000;21.1;16.9;26.1;73;7;0;4.1;
Arco;21/7/2000;21.9;17;27;66;13;0;0;
Arco;22/7/2000;23.1;16;28.6;64;7;0;0;
Arco;23/7/2000;23.2;18;28.2;76;3;0;0;rain
Arco;24/7/2000;21.4;19.4;25.3;85;11;0;6.1;rain
Arco;25/7/2000;23.9;20;29;75;6;0;0;
Arco;26/7/2000;24.1;18.8;30;72;11;0;0.8;rain
Arco;27/7/2000;24.7;17.4;30.3;68;4;0;0;
Arco;28/7/2000;22.2;15;28.1;84;6;0;1;thunderstorm
Arco;29/7/2000;21.3;12.4;27;62;4;0;0;
Arco;30/7/2000;22.2;14.5;28.2;63;5;0;0;
